item_id,name
20337,Tamamizu Painting
2241,Iron Lantern Shield
16656,Hemiskin Trousers of Striking
19910,Gyr Abanian Alumen
6338,Oasis Cottage Permit (Wood)
5149,Raw Topaz
37792,Rinascita Hood of Casting
7129,Oblong Garden Patch
35760,Deepgold War Scythe
34539,Ironwood Staff
34579,Manganese Boots of the White Griffin
30371,Purple Cosmos
43245,Titanium Gold Lapidary Hammer
23097,Grand Chair
41867,Loboskin Caligae of Maiming
16643,Heavy Metal Gauntlets of Fending
33126,Faith in Her Fury Orchestrion Roll
27202,White Oak Earrings
20053,Blue Prismfish
26132,Titanbronze Headgear of Maiming
17853,Revelation Orchestrion Roll
27637,Hard Leather Thighboots
40411,Cactuar Pajama Slippers
33882,Rainbow Moth Orchid Corsage
10898,Chimerical Felt Gloves of Healing
25646,Deepgold Helm of Fending
7486,Wolfram Mask
39411,Faerie Round Table
6437,Riviera Placard
3118,Steel Scale Mail
26127,Zonureskin Coat of Fending
21147,Path of Knowing Painting
12568,Archaeornis Skin
25855,Diaspore Choker of Aiming
35072,Classical Signifer's Fingerless Gloves
6365,Oasis Cottage Roof (Wood)
30369,Green Cosmos
23115,Ornate Yamashi Momohiki
2393,Amateur's Chaser Hammer
34128,Darkhempen Bottoms of Healing
28975,Oldrose Wall Planter
27091,White Oak Grinding Wheel
14722,Eikon Leather Headgear of Striking
7743,Mandrake Seeds
3106,Velveteen Robe
12658,Dusk Leather
10993,Citrine Choker of Slaying
16640,Heavy Metal Kite Shield
2575,Initiate's Fishing Rod
31838,Exarchic Mail of Maiming
30068,Shinryu's Ephemeral Longsword
6460,Oasis Flooring
19869,Persimmon
36509,Sophos Deka-okto
31407,Modern Aesthetics - Wind Caller
41860,Loboskin Fingerless Gloves of Fending
12084,Alpine Chair
44840,Black Cattleyas
34451,Bismuth Ring of Slaying
27107,Bluespirit Hatchet
3664,Boarskin Ringbands of Storms
5535,Matron's Mistletoe
20223,Abalathian Pipira
37793,Rinascita Coat of Casting
31252,Approved Grade 3 Skybuilders' Cedar Log
9530,Aged Ring
8048,Wizard's Attire Augmentation
2923,Goldsmith's Turban
2234,Warded Round Shield
27566,Blue Mountain Bubble
4945,Dark Sleeper
19526,High Steel Scythe
25990,Atrociraptorskin Headgear of Scouting
3017,Hard Leather Harness
36181,Annite
25834,Gliderskin Thighboots of Scouting
6576,Riviera Partition
18694,Twinsilk Slops of Aiming
31878,Exarchic Choker of Fending
27462,Sand Egg
33658,Frontier Shoes
19032,Torreya Choker of Fending
33838,Peacelover's Attire Coffer
38938,Sophora Roots
28805,White Campanula Corsage
36457,Animulus
4106,Goatskin Wristbands
16731,Goblacquer
4725,Rolanberry Cheesecake
13022,Forgemaster's Sandals
43804,Yok Huy Toad
27895,The Source Orchestrion Roll
20112,Ruby Shrimp
39465,Orange Morning Glories
18049,High Steel Helm of Fending
19623,Ruby Cotton Coatee
8012,Mosaic Interior Wall
7152,Sultana Portrait
5085,Darksteel Rings
3011,Bronze Haubergeon
27374,Molybdenum Chakrams
4285,Rose Gold Ear Screws
3741,Leather Duckbills of Gathering
35052,Classical Secutor's Manicae
26531,Pure Titanium Ore
15809,On Westerly Winds Orchestrion Roll
19583,Almandine Grinding Wheel
19940,Koppranickel Ingot
26489,Facet Earrings of Slaying
22536,Merry Mog Bed
18064,Bloodhempen Brais of Striking
3540,Bronze Mitt Gauntlets
31999,Approved Grade 4 Artisanal Skybuilders' Silex
4844,Nutmeg
11955,Mythrite Goggles of Crafting
36698,Pactmaker's Claw Hammer
12100,Royal Plotting Table
19589,Molybdenum Scythe
27864,Blood Tomato Salad
26116,Sandteak Cane
7480,Heavy Wolfram Helm
37124,Heimdall's Last Sight Painting
19876,Koshu Pork
10919,Serpentskin Thighboots of Healing
23347,Pagos Spring Water
4625,Water Ward Hi-Potion
38450,Pterosquirrel
3191,Raptorskin Harness
19538,Doman Iron Claw Hammer
43298,Br'aaxskin Workboots of Crafting
2059,Brass Cudgel
26282,Dwarven Mythril Rapier
20186,Redcoat
37852,Argonauta argo
21707,Silvergrace Planisphere
5376,Rosewood Lumber
43759,Zorgor Scorpion
8545,Blue Summer Maro
44842,Ceviche
31883,Exarchic Bracelet of Fending
36696,Pactmaker's Hatchet
5287,Uraeus Leather
18011,Piety Materia VI
44432,Everseeker's Headgear of Crafting
10886,Aurum Regis Crown of Healing
17998,Blue Daisies
19562,Polished Slate Grinding Wheel
15927,Moonfire Sandals
39724,Grade 8 Vitality Alkahest
42368,White Gold Amulet of Healing
7949,Anomalocaris
34533,Ironwood Spear
3473,Felt Trousers
34754,Star Quartz Ring of Casting
34709,Ophiotauroskin Boots of Maiming
5230,Limestone
44897,Imitation Closet
43964,Blue Sunflowers
34431,Snow Linen Jacket of Casting
2814,Woolen Hat
38918,Indagator's Armguards of Gathering
25649,Smilodonskin Trousers of Fending
8753,The Old Man in the Sea
18957,Imperial Jade Necklace of Healing
7511,Cashmere Robe of Casting
9674,Grade 3 Wheel of Company
17464,Cropped Wool Slops
35460,Integral Earrings of Crafting
44825,Yellow Cattleya Corsage
43996,Ra'Kaznar Ore
25656,Smilodonskin Leggings of Maiming
12087,Stuffed Carbuncle
5153,Ice Rock
14178,Max-Potion of Vitality
44251,Scientist's Monocle
28068,Bronze Sole
31991,Approved Grade 4 Artisanal Skybuilders' Log
15476,Extreme Survival Shirt
18995,Chromite Greaves of Maiming
38270,King Urchin Loaf
7040,Belah'dian Glass
43282,Ra'Kaznar Maul
27684,Miracle Apple Log
27321,Red Hydrangeas
4598,Potion of Mind
28697,Painting of Fort Gohn
3607,Linen Halfgloves
17609,Points of the Fiend
1786,Mythril Bhuj
12779,Crystalfin
8045,Fighter's Armor Augmentation
44002,Lar Ore
4198,Copper Ear Cuffs
14265,From the Ashes Orchestrion Roll
21793,Shark-class Bridge
27891,Rare Roast Beef
9064,Kirimu Gloves of Healing
7976,Model Star Globe
44303,The Skyruin Orchestrion Roll
21150,Landlord Colony Painting
2874,Electrum Circlet (Tourmaline)
20346,Prism Lake Painting
3260,Vanya Robe of Casting
19019,True Griffin Sandals of Healing
38550,The Fae's Crown Rod
3755,Lalafellin Bootees
20231,Flamefish
5094,Cobalt Rivets
14224,A New Hope Orchestrion Roll
21090,Shinryu's Scale
27782,Underground Spring Water
23884,Mahogany Bunk Bed
6337,Glade Mansion Permit (Stone)
28958,Half-timbered House Walls
26472,Facet Gloves of Scouting
17020,Yarn Basket
11943,Mythrite Culinary Knife
26306,Swallowskin Gloves of Aiming
27545,Petalfish
12570,Dhalmel Hide
26000,Atrociraptorskin Boots of Healing
3766,Leather Boots
16025,Rainbow Violas
44111,Stone Partition
3761,Leather Shoes
23064,The Gambler
6424,Oasis Rounded Chimney
33928,Quickarm Materia IX
36220,Thavnairian Horsetail
2568,Mythril Scythe
18349,Pine Composite Bow
6366,Oasis Cottage Roof (Composite)
7685,Goldenfin
5592,Blue Odoshi Cord
18107,Triphane Ring of Slaying
15983,Maple Leaf Pile
12221,Cassia Log
28861,Replica Sky Rat Breeches of Aiming
5212,Radiant Eye of Water
23058,Sapphire Fan
12715,Ice Faerie
20314,Castrum Oriens Painting
35870,Hose of Happiness
2229,Leather Targe
11042,Mythrite Bangle of Healing
20126,Othardian Trout
27509,Cyan Sea Devil
21754,Silvergrace Earring of Slaying
9725,Egg Floor Lamp
10672,Titanium Mask of Fending
43752,Pyariyoanaan Cichlid
43683,Shooting Starscale
27942,Cropped Summer Indigo Slops
5858,Water Archon Egg
25001,Ballroom Etiquette - Overzealous Affirmations
43714,Shovelnose Catfish
34251,High Durium Armor of Fending
42058,Ihuykanite Bracelet of Slaying
5031,Jungle Catfish
10835,Serpentskin Boots of Aiming
36082,Coconut Milk
5577,Vanya Silk Hat Lining
43715,Shimmering Shadow
36121,Blitzring
27775,Starch Glue
2264,Vintage Buckler
19970,Raw Star Spinel
12724,Glacier Core
18095,Triphane Earrings of Casting
44113,Tuliyollan Table Lamp
2055,Weathered Scepter
26735,Craftsman's Competence Materia VIII
27179,Pixie Cotton Slops of Gathering
11985,Dhalmelskin Bush Hat
31541,Harlequin's Boots
20090,Highland Perch
9302,Artisan's Sandals
20162,Hatchetfish
36497,Eehs Forhnesh
25804,Deepgold Chakrams
7771,Dress Material
6334,Glade House Permit (Stone)
18019,Savage Aim Materia VI
44257,Ribboned Parasol
43689,Kozama'uka Skipper
5201,Eye of Earth
25676,Brightlinen Cap of Healing
39648,Diadochos Zaghnal
41877,Loboskin Caligae of Aiming
23162,Raw Cloud Pearl Materials
17571,Stormcloud Cotton Boll
5226,Astral Moraine
11910,Adamantite Hatchet
40584,Princess Salmon
28980,Golden Crystal Boule
12721,Whilom Catfish
20045,Idle Goby
33923,Gatherer's Guile Materia IX
4836,Pearl Ginger
11022,Aurum Regis Bracelet of Aiming
33293,Mounted Dinosaur Skull
35031,Classical Codex
33245,Small Forge's Walls
11921,Adamantite File
43765,Heritage Loach
42022,Mountain Linen Bandana of Striking
41778,Craftsman's Competence Materia XII
20264,Green Daisy Corsage
18716,Molybdenum Earring of Slaying
14094,Wind-up Titan
19734,Gyuki Leather Choker
28070,The Sound of Fury
43717,Belonesox
3015,Amateur's Dalmatica
5761,Loam Brown Dye
5306,Peiste Skin
16570,Dress-up Alisaie
23773,Rakshasa Daggers
10801,Chimerical Felt Coif of Aiming
36569,Grey Mullet
6389,Glade Mansion Wall (Wood)
3334,Cotton Breeches
24541,Lily of the Valley Pips
6214,Wind-up Qiqirn
27955,Crimson Firesand
9662,Grade 2 Wheel of Efficiency
44249,Turali Traveler's Shirt
37488,Exciting Fiber
19649,Marid Leather Gloves of Gathering
2414,Basilisk Grinding Wheel
20122,Pandamoth
10915,Archaeoskin Shoes of Healing
42919,Archeo Kingdom Gloves of Healing
38554,The Fae's Crown Katana
42500,Thunderyards Silk Coat of Healing
20742,Hingan Chochin Lantern
13855,Replica High Allagan Gauntlets of Maiming
36238,Enchanted Manganese Ink
29414,Neo-Ishgardian Grimoire
6751,Wolf Sallet
6601,Riviera Round Table
2527,Steel Dolabra
10925,Hallowed Chestnut Mask of Casting
9185,Bronze Knives
25704,Islewolf Ring of Slaying
27329,Rainbow Hydrangeas
6656,Maelstrom Banner
39390,Toy Cooking Set
23826,Rakshasa Earring of Fending
25644,Deepgold War Quoits
43704,Ku'uxage Bitterling
9515,Perfect Pounce
4426,Ring of Freedom
43847,Longnose Gar
34280,Almasty Serge Hat of Casting
27677,Altered Woolen Cowl
27932,Rainbow Hydrangea Corsage
14075,Orange Oldroses
21704,Silvergrace Rod
44041,Windsbalm Bay Leaf
43739,Welkin Catfish
6611,Glade Dining Table
3613,Fingerless Boarskin Gloves of Gathering
21753,Silvergrace Earring of Fending
12755,Aithon's Colt
34419,Saigaskin Shoes of Aiming
5870,Bombard Ash
25800,Stonegold Orrery
5010,Angry Pike
10099,Unaspected Crystal
40616,Ornate Diadochos Jacket of Aiming
36465,Lunar Cichlid
8356,Inferno Claws
31664,Wind on the Plains Orchestrion Roll
20436,Katana of the Round
3217,Templar's Haubergeon
12224,Vivianite
18668,Gazelleskin Codex
24353,Modified Unkiu-class Bridge
22438,Dzo Sirloin
19887,Infusion of Dexterity
5793,Corpse Blue Dye
17469,Pteroskin Shoes
27271,Lily Floor Lamp
8758,Ignus Horn
20714,Hingan Fence (Nanpu)
13044,Cauldronmaster's Overcoat
5703,Craftsman's Competence Materia V
5109,Pyrite
13769,Falconer's Bottoms
29416,Neo-Ishgardian Planisphere
28983,Picnic Basket
15525,Ironworks Necklace of Gathering
42499,Black Star Mask of Healing
28988,Milk Carton
35067,Classical Medicus's Wrist Torque
28628,Cerberpup
13313,Camphorwood Necklace of Healing
36584,Queenly Fan
30840,Suzaku's Flame-kissed Chokuto
3692,Cobalt Gauntlets
4367,Zircon Choker
38620,Shoveled Snow
36628,Cloth of Happiness
33257,Stuffed Peerifool
35417,Snow Linen Bottoms of Crafting
15537,High Mythrite Raising Hammer
44878,Botanist's Wall Frames
31095,Green Cosmos Corsage
14936,Faust Armor Plating
13094,Monstrously Large Mogwalls
41854,Lar Pendulums
44255,Scientist's Boots
27486,Yellow Pipira
25825,Iridescent Acton of Aiming
15630,The Dreamweaver
42161,Cobalt Tungsten War Scythe
29756,Nimble Dancer
43310,Gomphotherium Doublet of Gathering
8755,Coelacanthus
32240,Queen's Knight Piece
13868,Replica High Allagan Circlet of Healing
24244,Procoptodon Skin
27553,Hunter's Arrow
34739,Star Quartz Earrings of Casting
10587,Mythrite Flametongue
5515,Beeswax
17632,Breaking Boundaries Orchestrion Roll
26019,Atrociraptorskin Amulet of Slaying
6498,Titanic Cragsoul Lamp
2882,Rainmaker's Hat
19616,Gaganaskin Shoes
5771,Mud Green Dye
3185,Felt Robe
13644,Sky Pirate's Boots of Fending
13907,Replica Dreadwyrm Chapeau of Aiming
33612,Byakko's Enspirited Shield
25638,Smilodonskin Grimoire
25190,Battledance Materia VII
13075,Oriental Round Table
6590,Deluxe Manor Fireplace
1995,Weathered Cane
3805,Elm Pattens
37752,Rinascita Index
4946,La Noscean Perch
37799,Rinascita Earring of Aiming
2424,Steel Round Knife
9184,Bronze Daggers
24535,Simple Treehouse
25860,Diaspore Bracelet of Aiming
33244,Lancetfish
38536,Island Prism
27268,Walnut Interior Wall
42921,Archeo Kingdom Shoes of Healing
22514,Anemos Pot Helm
5531,Animal Fat
5864,Violet Archon Egg
17956,Stuffed Dhalmel
38915,Indagator's Boots of Crafting
24242,Urunday Log
28062,Nightworld Bronze Piece
3219,Harlequin's Acton
8820,Glade Lamppost
10412,Wootz Faussar
11892,Hardsilver Needle
35022,Classical Battleaxe
6380,Riviera Mansion Wall (Wood)
6326,Riviera Mansion Permit (Wood)
5479,Enchanted Electrum Ink
36119,Coeurl Beach Womenswear Coffer
15963,Viltgance Miniature
18699,Molybdenum Armguards of Scouting
22597,Black Dahlias
12220,Red Moko Grass
22425,Grade 3 Reisui of Intelligence
17594,Peteinosaur
5211,Radiant Eye of Lightning
36120,Coeurl Beach Menswear Coffer
15521,Carbonweave Apron of Crafting
40558,Shoshitsuki
27154,Lignum Vitae Grinding Wheel
32223,Royal Lion
19843,Rice Vinegar
42147,Dark Mahogany Spear
20680,Hingan Cottage Roof (Mokuzo)
4306,Bone Necklace
11033,Opal Ring of Aiming
28703,Painting of the Ondo Cups
23002,Quaintrelle's Ruffled Skirt
2549,Initiate's Hatchet
42917,Archeo Kingdom Beret of Healing
21763,Black Willow Armillae of Fending
13756,Dravanian Mote
5408,Pine Branch
39394,Alpine Pillar
26018,Atrociraptorskin Amulet of Fending
34420,Snow Linen Cap of Scouting
1769,Spiked Steel Labrys
40578,Crimson Sentry
18056,High Steel Scale Mail of Maiming
27176,Atrociraptorskin Cap of Gathering
4586,Potent Silencing Potion
38272,Sunset Carrot
28065,Loose Pendant
29891,Approved Grade 2 Skybuilders' Umbral Earthcap
2047,Tane Mahuta
29739,La Noscean Jelly
22481,Down Where Daemons Dwell Orchestrion Roll
36557,Crown Fish
20083,Fallen Leaf
6796,Wolf Turquoise Earrings
12786,Magma Louse
24280,Shakshouka
39480,Private Pachypodium
2144,Maple Picatrix
43648,Ironwood Filbert Brush
11945,Adamantite Culinary Knife
7585,Mossy Stone Rod
4907,Pike Eel
36072,Peach Tart
41909,Lar Ring of Slaying
18197,Larch Wand
41772,Savage Aim Materia XII
16719,Supramax-Potion of Intelligence
3056,Doctore's Robe
43329,Ginseng Necklace
40374,Chimpanzee
24213,Princess Killifish
2381,Bronze Pliers
12519,Mythrite Ingot
34244,Pewter Rapier
20014,Dawnlight Aethersand
42176,Br'aaxskin Headband of Striking
36492,Glassfish
35059,Classical Sagittarius's Caligae
1996,Maple Cane
37402,Planter Set
12228,Deep-green Cluster
19654,Gazelleskin Gloves of Crafting
43709,Dumplingfish
6682,Sheep Rug
15974,Mounted Bookshelf
16684,Scintillant Earring of Slaying
43293,Loboskin Boots
28795,Skybuilders' Wheat
40709,Fleeting Moment Orchestrion Roll
38593,Kugane Phasmascape
17073,Lancers' Guild Painting
2030,Sprouting Rosewood Radical
42523,Black Star Bracelet of Casting
31402,Ballroom Etiquette - Pointed Misgivings
35783,Bluespirit Wings
26140,Zonureskin Fingerless Gloves of Striking
20703,Hingan Door (Kura-zukuri)
9362,Arachne Velveteen
18241,Ruby Cotton Hat of Casting
31863,Exarchic Gloves of Healing
40404,Plain Pajama Eye Mask
2684,Plundered Celata
30443,Aesthete's Mallet
14941,Dinosaur Leather Gloves
24511,Wooden Loft
31353,Bozjan Runner's Secrets (Body Gear)
22896,Nightsteel File
19528,Doman Iron Lump Hammer
44089,Tender Shortcake
37362,Ironworks Tool Set
27485,Darkroot
5322,Raptor Sinew
7683,Moldva
20061,Pagan Pirarucu
11011,Chrysolite Ring of Slaying
12972,Furymint
38642,Maelstrom Command Orchestrion Roll
26502,Facet Bracelet of Casting
27817,Yellow Alumen
21276,Ambient Kitchen Orchestrion Roll
7145,Flame Flooring
36114,Competent Craftsman's Draught
29480,Neo-Ishgardian Ring of Slaying
12654,Toy Box Schema
25818,Iridescent Hat of Striking
15100,Allagan Aetherstone - Body Gear
7135,Flame Interior Wall
11960,Archaeoskin Jackcoat of Crafting
6609,Sylphic Table
2555,Cobalt Hatchet
10802,Griffin Leather Blinder of Aiming
20062,Temple Carp
34297,Palm Bracelets of Aiming
27847,Pixieberry
13761,Fossilized Dragon Bone
3318,Hempen Trousers
38226,Noir Slacks
1749,Weathered War Axe
15539,High Mythrite Round Knife
2338,Cobalt Claw Hammer
31821,Exarchic Cane
5835,Titan Mythrilpiece
37344,Gingerbread Cottage Walls
4266,Spinel Earrings
4369,Tourmaline Choker
38621,Blooming Garden Table
19522,Larch Spinning Wheel
9375,Mossy Stone Daggers
8773,Magicked Mushroom
39421,Smaller Water Otter Fountain
28955,Black Hyacinths
35998,Black Triteleia Earring
32938,Thylacoleo Leather
29681,Crystallized Coral
23229,Stuffed Happy Bunny
5998,Tallow Candle
36107,Grade 5 Tincture of Intelligence
2476,Mythril Alembic
42876,Archeo Kingdom Scepter
37693,Verdurous Glioaether
1978,Wand of Tides
43754,Trailtrout
20805,Red Brightlily Corsage
17738,Hingan Mansion Permit (Nanpu)
31891,Exarchic Ring of Healing
26294,Swallowskin Gloves of Maiming
30821,Tsukuyomi's Moonlit Grimoire
35749,Orange Triteleia
40537,Impostopus
23821,Rakshasa Dogi of Casting
2852,Felt Hat
43771,Electrobetta
21122,Anyx Minor Painting
20529,Bombfish
36868,Highland House Roof (Composite)
42357,White Gold Earrings of Aiming
34115,High Durium Visor of Aiming
20735,Hingan Cupboard
2447,Initiate's Needle
33933,Savage Might Materia X
11928,Cloud Mica Grinding Wheel
15522,Carbonweave Sleeves of Crafting
13865,Replica High Allagan Gloves of Aiming
35564,Woodland Chair
22560,Trouser Hanger
21794,Shark-class Pressure Hull
21796,Unkiu-class Bow
4595,Potion of Dexterity
14738,Eikon Cloth Acton of Healing
35991,Red Triteleia Earring
9301,Artisan's Culottes
17852,Bibliophobia Orchestrion Roll
5369,Rattan Lumber
22517,Anemos Sarouel
13902,Replica Dreadwyrm Circlet of Striking
18016,Lightning Materia VI
5699,Craftsman's Competence Materia I
35459,Kumbhiraskin Ring of Gathering
40615,Ornate Diadochos Jacket of Striking
5359,Chocobo Feather
13654,Sky Pirate's Gloves of Striking
42007,Ruthenium War Scythe
6545,Storm Utility Cot
5039,Skyfish
11881,Titanium Raising Hammer
13679,Sky Pirate's Bottoms of Casting
37111,Juturna Platform G Painting
32812,Carnation Seeds
26008,White Ash Earring of Fending
21165,Recombination Labs Painting
5874,Black Bombard Ash
2389,Cobalt Pliers
27590,Squid Strip
1758,Inferno Axe
27497,Stormfish
20081,Cave Killifish
2093,Vintage Cudgel
7606,Ancient Lumber
18965,Imperial Jade Ring of Slaying
27787,Tincture of Dexterity
21745,Slothskin Boots of Healing
44077,Salmon Jerky
27190,Zonureskin Shoes of Gathering
2984,Hyuran Chemisette
27166,Brightlinen Turban of Gathering
4218,Malachite Earrings
21145,Danneroad Painting
6540,Flame Desk
6607,Glade Table
18574,Azurite Ring of Fending
26446,Facet Circlet of Fending
44141,Xbr'aal Varnish
5195,Nephrite
31870,Exarchic Hose of Casting
17030,Topiary Paissa
30124,Metallic Brass Dye
36341,Archangel Wings
34273,Luncheon Toadskin Hose of Scouting
5113,Silver Ore
2778,Angler's Hat
30251,Ultima (The Primals) Orchestrion Roll
27450,Razorfish
9669,Grade 3 Wheel of Confrontation
31262,Approved Grade 3 Artisanal Skybuilders' Log
2291,Scorpion Shield
34704,Chondrite Sollerets of Fending
33850,A Better Tomorrow Orchestrion Roll
19918,Hallowed Basil
29856,Approved Grade 2 Skybuilders' Pigment
21839,Stage Panel
26180,Triplite Bracelet of Aiming
39719,Spodumene
10851,Griffin Leather Coat of Scouting
11942,Heavy Adamantite Mortar
15856,Voidrake Seeds
31763,Oddly Delicate Rhea
42525,Black Star Ring of Slaying
21108,Blank Oasis Partition
5151,Raw Sapphire
2107,Ramhorn Staff
38838,Bronze Eel
28675,Painting of the Ostall Imperative
40442,Shishu Bujin Hitatare
38591,Side-tied Curtain
3916,Raptorskin Leg Guards
19509,Koppranickel Ornamental Hammer
36029,Ornate Classical Hoplomachus's Lorica
40598,Gakugyo
42496,Ra'Kaznar Gloves of Scouting
10867,Holy Rainbow Sarouel of Scouting
40398,Green Chrysanthemum Corsage
4789,Midland Cabbage
35358,Bismuth Mortar
30126,Magicked Prism (House Dzemael)
1942,Crab Bow
31666,Discord: Imperial (Zodiac Age Version) Orchestrion Roll
26478,Facet Dress Gloves of Healing
4921,Sunfish
34270,Almasty Serge Headband of Scouting
8014,Marble Flooring
39393,Alpine Partition Door
44027,Rroneek Fleece
4994,Oakroot
16720,Supramax-Potion of Mind
35367,Manganese Needle
20145,Black Boxfish
2666,Stablehand's Hat
27428,Clean Saucer
6443,Riviera Banner
19602,Ala Mhigan Cross-pein Hammer
1752,Cloud Axe
34248,High Durium War Scythe
26283,Dwarven Mythril Manatrigger
4905,Raincaller
39872,Baked Eggplant
5367,Elm Lumber
44146,Glossy Dried Aether
36520,Unbegotten
31549,Dzemael Carbine
44296,Empyrean Peak Orchestrion Roll
5177,Peridot
7559,Plush Cushion
18,Lightning Cluster
15909,Neo Aetherstone - Body Gear
40407,Plain Pajama Slippers
35064,Classical Dimachaerius's Caligae
4256,Stonewall Earrings
43781,Knight Goby
7964,The Five Ages
27275,Messy Dishes
9616,Grade 2 Feed - Speed Blend
39674,Diadochos Shoes of Scouting
26454,Facet Gauntlets of Maiming
19821,Onigara-yaki
9733,Dead Man's Chest
29767,Sweeper
10623,Mythrite Zweihander
13899,Replica Dreadwyrm Vambraces of Maiming
35558,Table Mat
28852,Replica Sky Rat Hookboots of Maiming
10952,Ramie Tonban of Casting
4893,Hammerhead Shark
27435,Snakeskin Discus
14935,Galvanized Garlond Steel
17984,Topiary Carbuncle
6497,Cragsoul Lamp
11905,Titanium Pickaxe
31121,Oddly Specific Gagana Skin
21843,Eorzean Lantern
1879,Champion's Lance
19945,Tama-hagane Ingot
41102,Throne of the Foremost
30885,Forgotten Fragment of Preparation
27854,Purple Carrot Juice
28626,Little Leannan
22486,Answer on High Orchestrion Roll
18014,Wind Materia VI
42220,Pink Beryl Ring of Casting
28474,Facet Gloves of Crafting
36353,Carrots of Happiness Orchestrion Roll
34440,Phrygian Choker of Fending
27510,Pancake Octopus
4512,Turquoise Ring
44978,Adamant Battleaxe
43973,Ut'ohmu Chili Sauce
34531,Manganese Knuckles
33920,Savage Might Materia IX
35321,High Durium Cross-pein Hammer
5511,Rubber Band
35994,Green Triteleia Earring
27123,Titanbronze Creasing Knife
13748,Cloud Cloth
7535,Sailor Shirt
5167,Uncultured Pearl
25979,Pixie Cotton Acton of Striking
3520,Hyuran Gloves
5158,Astral Rock
43328,Ginseng Earrings
21822,Bread Basket
3625,Fingerless Peisteskin Gloves
20267,White Daisy Corsage
19814,Chirashi-zushi
43257,Titanium Gold Awl
43206,Mountain Chromite Alembic
8201,Miniature Minecart
11944,Titanium Culinary Knife
23889,Wooden Plates
28801,Yellow Campanula Corsage
1949,Longarm's Composite Bow
10796,Rainbow Cap of Aiming
19874,Hornbill Tenderloin
42898,Archeo Kingdom Cuirass of Maiming
27327,White Hydrangeas
13816,Replica Allagan Gauntlets of Striking
29770,Executioner
29848,Approved Grade 2 Skybuilders' Rock Salt
